run_id,method,query_id,input_path,file_name,error_type,error_message,parse_ok,formula,reduced_formula,target_formula,target_formula_match,declared_space_group,detected_space_group,target_space_group,space_group_consistent,multiplicity_checked,multiplicity_consistent,bond_reasonableness_score,bond_lengths_reasonable,min_distance,min_distance_pair,num_bad_contacts,volume,volume_per_atom,density,geometry_ok,geometry_warning_count,duplicate_group_id,is_duplicate,is_unique_representative,novelty_checked,nearest_reference_id,known_match,novel_by_structure_matcher,novelty_error,alignn_ok,alignn_model,formation_energy_per_atom,pre_dft_valid,pre_dft_rank_score,selected_for_dft,benchmark_id,benchmark_group,attempt_id,target_reduced_formula,target_structure_family,prompt,target_cif_path,reference_cif_path,reference_id,reference_source,paper_source,paper_name,priority,mapping_status,mapping_confidence,mapping_reason,generated_reduced_formula,generated_formula,notes,reference_needed,structure_match,structure_match_structure_match,rms_dist,structure_match_rms_dist,max_dist,structure_match_max_dist,anonymous_match,structure_match_anonymous_match,supercell_match,structure_match_supercell_match,matched_reference_id,structure_match_matched_reference_id,property_target_ok,property_targets_property_target_ok,target_property_name,property_targets_target_property_name,target_property_value,property_targets_target_property_value,predicted_property_value,property_targets_predicted_property_value,property_error,property_targets_property_error,formation_energy_error,property_targets_formation_energy_error,energy_above_hull_error,property_targets_energy_above_hull_error,band_gap_error,property_targets_band_gap_error,rediscovery_label,benchmark_rank_score,evaluator_pre_dft_validity_ok,evaluator_pre_dft_validity_skipped,evaluator_pre_dft_validity_summary,evaluator_pre_dft_validity_error_type,evaluator_pre_dft_validity_error_message,evaluator_pre_dft_validity_details,evaluator_structure_match_ok,evaluator_structure_match_skipped,evaluator_structure_match_summary,evaluator_structure_match_error_type,evaluator_structure_match_error_message,evaluator_structure_match_details,evaluator_property_targets_ok,evaluator_property_targets_skipped,evaluator_property_targets_summary,evaluator_property_targets_error_type,evaluator_property_targets_error_message,evaluator_property_targets_details
690efc11-9a6b-462f-adab-06d591acc132,qlip_generated,sanity_batio3_perovskite,C:\Users\brown\Downloads\example created cifs\challenge_001_batio3_perovskite_solution.cif,challenge_001_batio3_perovskite_solution.cif,,,True,Ba1 Ti1 O3,BaTiO3,BaTiO3,True,P 1,R3m,Pm-3m or P4mm,False,False,,1.0,True,1.9918584287042083,Ti-O,0,97.33599999999997,19.467199999999995,3.9782275691152957,True,0,dup-0001,False,True,False,,,,,False,,,True,11000.0,False,sanity_batio3_perovskite,A_validity,1,BaTiO3,perovskite,Generate BaTiO3 perovskite.,reference_cifs\sanity_batio3_perovskite.cif,reference_cifs\sanity_batio3_perovskite.cif,prototype_sanity_batio3_perovskite,prototype,SCA sanity,prototype targets,high,matched,reduced_formula,reduced_formula matched exactly one target,BaTiO3,Ba1 Ti1 O3,Formula and validity smoke target,False,False,False,,,,,False,False,False,False,,,False,False,,,,,,,,,,,,,,,valid_reference_not_checked,250.0,True,False,valid,,,"{'parse_ok': True, 'formula': 'Ba1 Ti1 O3', 'reduced_formula': 'BaTiO3', 'target_formula': 'BaTiO3', 'target_formula_match': True, 'declared_space_group': 'P 1', 'detected_space_group': 'R3m', 'target_space_group': 'Pm-3m or P4mm', 'space_group_consistent': False, 'multiplicity_checked': False, 'multiplicity_consistent': None, 'bond_reasonableness_score': 1.0, 'bond_lengths_reasonable': True, 'min_distance': 1.9918584287042083, 'min_distance_pair': 'Ti-O', 'num_bad_contacts': 0, 'volume': 97.33599999999997, 'volume_per_atom': 19.467199999999995, 'density': 3.9782275691152957, 'geometry_ok': True, 'geometry_warning_count': 0, 'duplicate_group_id': 'dup-0001', 'is_duplicate': False, 'is_unique_representative': True, 'novelty_checked': False, 'nearest_reference_id': None, 'known_match': None, 'novel_by_structure_matcher': None, 'novelty_error': None, 'alignn_ok': False, 'alignn_model': None, 'formation_energy_per_atom': None, 'pre_dft_valid': True, 'pre_dft_rank_score': 11000.0, 'selected_for_dft': False, 'error_type': None, 'error_message': None}",False,False,not matched,,,"{'target_cif_path': 'C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\benchmarks\\paper_targets\\reference_cifs\\sanity_batio3_perovskite.cif', 'reference_id': 'prototype_sanity_batio3_perovskite', 'mode': 'both', 'target_formula': 'BaTiO3'}",False,True,no comparable target,,,{}
690efc11-9a6b-462f-adab-06d591acc132,qlip_generated,sanity_catio3_perovskite,C:\Users\brown\Downloads\example created cifs\challenge_002_catio3_perovskite_solution.cif,challenge_002_catio3_perovskite_solution.cif,,,True,Ca1 Ti1 O3,CaTiO3,CaTiO3,True,P 1,Pm-3m,,False,False,,1.0,True,2.3,Ca-O,0,97.33599999999997,19.467199999999995,2.3191727084943423,True,0,dup-0002,False,True,False,,,,,False,,,True,11000.0,False,sanity_catio3_perovskite,A_validity,2,CaTiO3,perovskite,Generate CaTiO3 perovskite.,reference_cifs\sanity_catio3_perovskite.cif,reference_cifs\sanity_catio3_perovskite.cif,prototype_sanity_catio3_perovskite,prototype,SCA sanity,prototype targets,high,matched,reduced_formula,reduced_formula matched exactly one target,CaTiO3,Ca1 Ti1 O3,Formula and validity smoke target,False,True,True,,,,,True,True,False,False,prototype_sanity_catio3_perovskite,prototype_sanity_catio3_perovskite,False,False,,,,,,,,,,,,,,,valid_reference_not_checked,0.0,True,False,valid,,,"{'parse_ok': True, 'formula': 'Ca1 Ti1 O3', 'reduced_formula': 'CaTiO3', 'target_formula': 'CaTiO3', 'target_formula_match': True, 'declared_space_group': 'P 1', 'detected_space_group': 'Pm-3m', 'target_space_group': None, 'space_group_consistent': False, 'multiplicity_checked': False, 'multiplicity_consistent': None, 'bond_reasonableness_score': 1.0, 'bond_lengths_reasonable': True, 'min_distance': 2.3, 'min_distance_pair': 'Ca-O', 'num_bad_contacts': 0, 'volume': 97.33599999999997, 'volume_per_atom': 19.467199999999995, 'density': 2.3191727084943423, 'geometry_ok': True, 'geometry_warning_count': 0, 'duplicate_group_id': 'dup-0002', 'is_duplicate': False, 'is_unique_representative': True, 'novelty_checked': False, 'nearest_reference_id': None, 'known_match': None, 'novel_by_structure_matcher': None, 'novelty_error': None, 'alignn_ok': False, 'alignn_model': None, 'formation_energy_per_atom': None, 'pre_dft_valid': True, 'pre_dft_rank_score': 11000.0, 'selected_for_dft': False, 'error_type': None, 'error_message': None}",True,False,matched,,,"{'target_cif_path': 'C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\benchmarks\\paper_targets\\reference_cifs\\sanity_catio3_perovskite.cif', 'reference_id': 'prototype_sanity_catio3_perovskite', 'mode': 'both', 'target_formula': 'CaTiO3'}",False,True,no comparable target,,,{}
690efc11-9a6b-462f-adab-06d591acc132,qlip_generated,generated_challenge_mgal2o4_spinel,C:\Users\brown\Downloads\example created cifs\challenge_004_mgal2o4_spinel_solution.cif,challenge_004_mgal2o4_spinel_solution.cif,,,True,Mg1 Al2 O4,MgAl2O4,MgAl2O4,True,P 1,Amm2,Fd-3m,False,False,,1.0,True,1.9918584287042083,Mg-O,0,97.33599999999997,13.905142857142852,2.427033319192912,True,0,dup-0003,False,True,False,,,,,False,,,True,11000.0,False,generated_challenge_mgal2o4_spinel,A_validity,4,MgAl2O4,spinel,Generate a spinel-like MgAl2O4 crystal structure.,reference_cifs\generated_challenge_mgal2o4_spinel.cif,reference_cifs\generated_challenge_mgal2o4_spinel.cif,prototype_generated_challenge_mgal2o4_spinel,prototype,generated_challenge_set_v1,Generated challenge prototype set,challenge,matched,reduced_formula,reduced_formula matched exactly one target,MgAl2O4,Mg1 Al2 O4,Added to map current generated challenge CIF folder; reference/hull fields intentionally blank.,False,False,False,,,,,False,False,False,False,,,False,False,,,,,,,,,,,,,,,valid_reference_not_checked,250.0,True,False,valid,,,"{'parse_ok': True, 'formula': 'Mg1 Al2 O4', 'reduced_formula': 'MgAl2O4', 'target_formula': 'MgAl2O4', 'target_formula_match': True, 'declared_space_group': 'P 1', 'detected_space_group': 'Amm2', 'target_space_group': 'Fd-3m', 'space_group_consistent': False, 'multiplicity_checked': False, 'multiplicity_consistent': None, 'bond_reasonableness_score': 1.0, 'bond_lengths_reasonable': True, 'min_distance': 1.9918584287042083, 'min_distance_pair': 'Mg-O', 'num_bad_contacts': 0, 'volume': 97.33599999999997, 'volume_per_atom': 13.905142857142852, 'density': 2.427033319192912, 'geometry_ok': True, 'geometry_warning_count': 0, 'duplicate_group_id': 'dup-0003', 'is_duplicate': False, 'is_unique_representative': True, 'novelty_checked': False, 'nearest_reference_id': None, 'known_match': None, 'novel_by_structure_matcher': None, 'novelty_error': None, 'alignn_ok': False, 'alignn_model': None, 'formation_energy_per_atom': None, 'pre_dft_valid': True, 'pre_dft_rank_score': 11000.0, 'selected_for_dft': False, 'error_type': None, 'error_message': None}",False,False,not matched,,,"{'target_cif_path': 'C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\benchmarks\\paper_targets\\reference_cifs\\generated_challenge_mgal2o4_spinel.cif', 'reference_id': 'prototype_generated_challenge_mgal2o4_spinel', 'mode': 'both', 'target_formula': 'MgAl2O4'}",False,True,no comparable target,,,{}
690efc11-9a6b-462f-adab-06d591acc132,qlip_generated,generated_challenge_znfe2o4_spinel,C:\Users\brown\Downloads\example created cifs\challenge_005_znfe2o4_spinel_solution.cif,challenge_005_znfe2o4_spinel_solution.cif,,,True,Zn1 Fe2 O4,Zn(FeO2)2,ZnFe2O4,True,P 1,Pmm2,Fd-3m,False,False,,0.25,False,1.15,Zn-Fe,3,97.33599999999997,13.905142857142852,4.113075570023195,True,0,dup-0004,False,True,False,,,,,False,,,False,60300.0,False,generated_challenge_znfe2o4_spinel,A_validity,5,Zn(FeO2)2,spinel,Generate a spinel-like ZnFe2O4 crystal structure.,reference_cifs\generated_challenge_znfe2o4_spinel.cif,reference_cifs\generated_challenge_znfe2o4_spinel.cif,prototype_generated_challenge_znfe2o4_spinel,prototype,generated_challenge_set_v1,Generated challenge prototype set,challenge,matched,reduced_formula,reduced_formula matched exactly one target,Zn(FeO2)2,Zn1 Fe2 O4,Added to map current generated challenge CIF folder; reference/hull fields intentionally blank.,False,False,False,,,,,False,False,False,False,,,False,False,,,,,,,,,,,,,,,valid_reference_not_checked,1250.0,False,False,invalid,,,"{'parse_ok': True, 'formula': 'Zn1 Fe2 O4', 'reduced_formula': 'Zn(FeO2)2', 'target_formula': 'ZnFe2O4', 'target_formula_match': True, 'declared_space_group': 'P 1', 'detected_space_group': 'Pmm2', 'target_space_group': 'Fd-3m', 'space_group_consistent': False, 'multiplicity_checked': False, 'multiplicity_consistent': None, 'bond_reasonableness_score': 0.25, 'bond_lengths_reasonable': False, 'min_distance': 1.15, 'min_distance_pair': 'Zn-Fe', 'num_bad_contacts': 3, 'volume': 97.33599999999997, 'volume_per_atom': 13.905142857142852, 'density': 4.113075570023195, 'geometry_ok': True, 'geometry_warning_count': 0, 'duplicate_group_id': 'dup-0004', 'is_duplicate': False, 'is_unique_representative': True, 'novelty_checked': False, 'nearest_reference_id': None, 'known_match': None, 'novel_by_structure_matcher': None, 'novelty_error': None, 'alignn_ok': False, 'alignn_model': None, 'formation_energy_per_atom': None, 'pre_dft_valid': False, 'pre_dft_rank_score': 60300.0, 'selected_for_dft': False, 'error_type': None, 'error_message': None}",False,False,not matched,,,"{'target_cif_path': 'C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\benchmarks\\paper_targets\\reference_cifs\\generated_challenge_znfe2o4_spinel.cif', 'reference_id': 'prototype_generated_challenge_znfe2o4_spinel', 'mode': 'both', 'target_formula': 'ZnFe2O4'}",False,True,no comparable target,,,{}
690efc11-9a6b-462f-adab-06d591acc132,qlip_generated,generated_challenge_limn2o4_spinel,C:\Users\brown\Downloads\example created cifs\challenge_008_limn2o4_spinel_solution.cif,challenge_008_limn2o4_spinel_solution.cif,,,True,Li1 Mn2 O4,LiMn2O4,LiMn2O4,True,P 1,Pmmm,Fd-3m,False,False,,0.3333333333333333,False,1.15,Li-O,2,97.33599999999997,13.905142857142852,3.0846742929610675,True,0,dup-0005,False,True,False,,,,,False,,,False,60200.0,False,generated_challenge_limn2o4_spinel,A_validity,8,LiMn2O4,spinel,Generate a spinel-like LiMn2O4 crystal structure.,reference_cifs\generated_challenge_limn2o4_spinel.cif,reference_cifs\generated_challenge_limn2o4_spinel.cif,prototype_generated_challenge_limn2o4_spinel,prototype,generated_challenge_set_v1,Generated challenge prototype set,challenge,matched,reduced_formula,reduced_formula matched exactly one target,LiMn2O4,Li1 Mn2 O4,Added to map current generated challenge CIF folder; reference/hull fields intentionally blank.,False,False,False,,,,,False,False,False,False,,,False,False,,,,,,,,,,,,,,,valid_reference_not_checked,1250.0,False,False,invalid,,,"{'parse_ok': True, 'formula': 'Li1 Mn2 O4', 'reduced_formula': 'LiMn2O4', 'target_formula': 'LiMn2O4', 'target_formula_match': True, 'declared_space_group': 'P 1', 'detected_space_group': 'Pmmm', 'target_space_group': 'Fd-3m', 'space_group_consistent': False, 'multiplicity_checked': False, 'multiplicity_consistent': None, 'bond_reasonableness_score': 0.3333333333333333, 'bond_lengths_reasonable': False, 'min_distance': 1.15, 'min_distance_pair': 'Li-O', 'num_bad_contacts': 2, 'volume': 97.33599999999997, 'volume_per_atom': 13.905142857142852, 'density': 3.0846742929610675, 'geometry_ok': True, 'geometry_warning_count': 0, 'duplicate_group_id': 'dup-0005', 'is_duplicate': False, 'is_unique_representative': True, 'novelty_checked': False, 'nearest_reference_id': None, 'known_match': None, 'novel_by_structure_matcher': None, 'novelty_error': None, 'alignn_ok': False, 'alignn_model': None, 'formation_energy_per_atom': None, 'pre_dft_valid': False, 'pre_dft_rank_score': 60200.0, 'selected_for_dft': False, 'error_type': None, 'error_message': None}",False,False,not matched,,,"{'target_cif_path': 'C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\benchmarks\\paper_targets\\reference_cifs\\generated_challenge_limn2o4_spinel.cif', 'reference_id': 'prototype_generated_challenge_limn2o4_spinel', 'mode': 'both', 'target_formula': 'LiMn2O4'}",False,True,no comparable target,,,{}
690efc11-9a6b-462f-adab-06d591acc132,qlip_generated,sanity_lif_rocksalt,C:\Users\brown\Downloads\example created cifs\challenge_009_lif_rocksalt_solution.cif,challenge_009_lif_rocksalt_solution.cif,,,True,Li1 F1,LiF,LiF,True,P 1,Pm-3m,Fm-3m,False,False,,1.0,True,,,0,97.33599999999997,48.667999999999985,0.44252272990536357,True,0,dup-0006,False,True,False,,,,,False,,,True,11000.0,False,sanity_lif_rocksalt,A_validity,9,LiF,rocksalt,Generate LiF rocksalt.,reference_cifs\sanity_lif_rocksalt.cif,reference_cifs\sanity_lif_rocksalt.cif,prototype_sanity_lif_rocksalt,prototype,SCA sanity,prototype targets,high,matched,reduced_formula,reduced_formula matched exactly one target,LiF,Li1 F1,Formula and validity smoke target,False,False,False,,,,,False,False,False,False,,,False,False,,,,,,,,,,,,,,,valid_reference_not_checked,250.0,True,False,valid,,,"{'parse_ok': True, 'formula': 'Li1 F1', 'reduced_formula': 'LiF', 'target_formula': 'LiF', 'target_formula_match': True, 'declared_space_group': 'P 1', 'detected_space_group': 'Pm-3m', 'target_space_group': 'Fm-3m', 'space_group_consistent': False, 'multiplicity_checked': False, 'multiplicity_consistent': None, 'bond_reasonableness_score': 1.0, 'bond_lengths_reasonable': True, 'min_distance': None, 'min_distance_pair': None, 'num_bad_contacts': 0, 'volume': 97.33599999999997, 'volume_per_atom': 48.667999999999985, 'density': 0.44252272990536357, 'geometry_ok': True, 'geometry_warning_count': 0, 'duplicate_group_id': 'dup-0006', 'is_duplicate': False, 'is_unique_representative': True, 'novelty_checked': False, 'nearest_reference_id': None, 'known_match': None, 'novel_by_structure_matcher': None, 'novelty_error': None, 'alignn_ok': False, 'alignn_model': None, 'formation_energy_per_atom': None, 'pre_dft_valid': True, 'pre_dft_rank_score': 11000.0, 'selected_for_dft': False, 'error_type': None, 'error_message': None}",False,False,not matched,,,"{'target_cif_path': 'C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\benchmarks\\paper_targets\\reference_cifs\\sanity_lif_rocksalt.cif', 'reference_id': 'prototype_sanity_lif_rocksalt', 'mode': 'both', 'target_formula': 'LiF'}",False,True,no comparable target,,,{}
690efc11-9a6b-462f-adab-06d591acc132,qlip_generated,sanity_nacl_rocksalt,C:\Users\brown\Downloads\example created cifs\challenge_010_nacl_rocksalt_solution.cif,challenge_010_nacl_rocksalt_solution.cif,,,True,Na1 Cl1,NaCl,NaCl,True,P 1,Amm2,Fm-3m,False,False,,1.0,True,2.816913204200655,Na-Cl,0,97.33599999999997,48.667999999999985,0.9970257837317908,True,0,dup-0007,False,True,False,,,,,False,,,True,11000.0,False,sanity_nacl_rocksalt,A_validity,10,NaCl,rocksalt,Generate NaCl rocksalt.,reference_cifs\sanity_nacl_rocksalt.cif,reference_cifs\sanity_nacl_rocksalt.cif,prototype_sanity_nacl_rocksalt,prototype,SCA sanity,prototype targets,high,matched,reduced_formula,reduced_formula matched exactly one target,NaCl,Na1 Cl1,Formula and validity smoke target,False,False,False,,,,,False,False,False,False,,,False,False,,,,,,,,,,,,,,,valid_reference_not_checked,250.0,True,False,valid,,,"{'parse_ok': True, 'formula': 'Na1 Cl1', 'reduced_formula': 'NaCl', 'target_formula': 'NaCl', 'target_formula_match': True, 'declared_space_group': 'P 1', 'detected_space_group': 'Amm2', 'target_space_group': 'Fm-3m', 'space_group_consistent': False, 'multiplicity_checked': False, 'multiplicity_consistent': None, 'bond_reasonableness_score': 1.0, 'bond_lengths_reasonable': True, 'min_distance': 2.816913204200655, 'min_distance_pair': 'Na-Cl', 'num_bad_contacts': 0, 'volume': 97.33599999999997, 'volume_per_atom': 48.667999999999985, 'density': 0.9970257837317908, 'geometry_ok': True, 'geometry_warning_count': 0, 'duplicate_group_id': 'dup-0007', 'is_duplicate': False, 'is_unique_representative': True, 'novelty_checked': False, 'nearest_reference_id': None, 'known_match': None, 'novel_by_structure_matcher': None, 'novelty_error': None, 'alignn_ok': False, 'alignn_model': None, 'formation_energy_per_atom': None, 'pre_dft_valid': True, 'pre_dft_rank_score': 11000.0, 'selected_for_dft': False, 'error_type': None, 'error_message': None}",False,False,not matched,,,"{'target_cif_path': 'C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\benchmarks\\paper_targets\\reference_cifs\\sanity_nacl_rocksalt.cif', 'reference_id': 'prototype_sanity_nacl_rocksalt', 'mode': 'both', 'target_formula': 'NaCl'}",False,True,no comparable target,,,{}
690efc11-9a6b-462f-adab-06d591acc132,qlip_generated,generated_challenge_cspbbr3_perovskite,C:\Users\brown\Downloads\example created cifs\challenge_011_cspbbr3_perovskite_solution.cif,challenge_011_cspbbr3_perovskite_solution.cif,,,True,Cs1 Pb1 Br3,CsPbBr3,CsPbBr3,True,P 1,P1,Pm-3m,False,False,,1.0,True,1.6263455967290599,Pb-Br,0,97.33599999999997,19.467199999999995,9.891607747612321,True,0,dup-0008,False,True,False,,,,,False,,,True,11000.0,False,generated_challenge_cspbbr3_perovskite,A_validity,11,CsPbBr3,perovskite,Generate a perovskite-like CsPbBr3 crystal structure.,reference_cifs\generated_challenge_cspbbr3_perovskite.cif,reference_cifs\generated_challenge_cspbbr3_perovskite.cif,prototype_generated_challenge_cspbbr3_perovskite,prototype,generated_challenge_set_v1,Generated challenge prototype set,challenge,matched,reduced_formula,reduced_formula matched exactly one target,CsPbBr3,Cs1 Pb1 Br3,Added to map current generated challenge CIF folder; reference/hull fields intentionally blank.,False,False,False,,,,,False,False,False,False,,,False,False,,,,,,,,,,,,,,,valid_reference_not_checked,250.0,True,False,valid,,,"{'parse_ok': True, 'formula': 'Cs1 Pb1 Br3', 'reduced_formula': 'CsPbBr3', 'target_formula': 'CsPbBr3', 'target_formula_match': True, 'declared_space_group': 'P 1', 'detected_space_group': 'P1', 'target_space_group': 'Pm-3m', 'space_group_consistent': False, 'multiplicity_checked': False, 'multiplicity_consistent': None, 'bond_reasonableness_score': 1.0, 'bond_lengths_reasonable': True, 'min_distance': 1.6263455967290599, 'min_distance_pair': 'Pb-Br', 'num_bad_contacts': 0, 'volume': 97.33599999999997, 'volume_per_atom': 19.467199999999995, 'density': 9.891607747612321, 'geometry_ok': True, 'geometry_warning_count': 0, 'duplicate_group_id': 'dup-0008', 'is_duplicate': False, 'is_unique_representative': True, 'novelty_checked': False, 'nearest_reference_id': None, 'known_match': None, 'novel_by_structure_matcher': None, 'novelty_error': None, 'alignn_ok': False, 'alignn_model': None, 'formation_energy_per_atom': None, 'pre_dft_valid': True, 'pre_dft_rank_score': 11000.0, 'selected_for_dft': False, 'error_type': None, 'error_message': None}",False,False,not matched,,,"{'target_cif_path': 'C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\benchmarks\\paper_targets\\reference_cifs\\generated_challenge_cspbbr3_perovskite.cif', 'reference_id': 'prototype_generated_challenge_cspbbr3_perovskite', 'mode': 'both', 'target_formula': 'CsPbBr3'}",False,True,no comparable target,,,{}
690efc11-9a6b-462f-adab-06d591acc132,qlip_generated,generated_challenge_cssni3_mapbi3_proxy,C:\Users\brown\Downloads\example created cifs\challenge_012_mapbi3_proxy_solution.cif,challenge_012_mapbi3_proxy_solution.cif,,,True,Cs1 Sn1 I3,CsSnI3,CsSnI3,True,P 1,R3,,False,False,,1.0,True,1.9918584287042087,Cs-Sn,0,97.33599999999997,19.467199999999995,10.787445339757841,True,0,dup-0009,False,True,False,,,,,False,,,True,11000.0,False,generated_challenge_cssni3_mapbi3_proxy,A_validity,12,CsSnI3,proxy/perovskite,Generate a MAPbI3-proxy CsSnI3 perovskite-like crystal structure.,reference_cifs\generated_challenge_cssni3_mapbi3_proxy.cif,reference_cifs\generated_challenge_cssni3_mapbi3_proxy.cif,prototype_generated_challenge_cssni3_mapbi3_proxy,prototype,generated_challenge_set_v1,Generated challenge prototype set,challenge,matched,reduced_formula,reduced_formula matched exactly one target,CsSnI3,Cs1 Sn1 I3,Added to map current generated challenge CIF folder; reference/hull fields intentionally blank.,False,False,False,,,,,False,False,False,False,,,False,False,,,,,,,,,,,,,,,valid_reference_not_checked,250.0,True,False,valid,,,"{'parse_ok': True, 'formula': 'Cs1 Sn1 I3', 'reduced_formula': 'CsSnI3', 'target_formula': 'CsSnI3', 'target_formula_match': True, 'declared_space_group': 'P 1', 'detected_space_group': 'R3', 'target_space_group': None, 'space_group_consistent': False, 'multiplicity_checked': False, 'multiplicity_consistent': None, 'bond_reasonableness_score': 1.0, 'bond_lengths_reasonable': True, 'min_distance': 1.9918584287042087, 'min_distance_pair': 'Cs-Sn', 'num_bad_contacts': 0, 'volume': 97.33599999999997, 'volume_per_atom': 19.467199999999995, 'density': 10.787445339757841, 'geometry_ok': True, 'geometry_warning_count': 0, 'duplicate_group_id': 'dup-0009', 'is_duplicate': False, 'is_unique_representative': True, 'novelty_checked': False, 'nearest_reference_id': None, 'known_match': None, 'novel_by_structure_matcher': None, 'novelty_error': None, 'alignn_ok': False, 'alignn_model': None, 'formation_energy_per_atom': None, 'pre_dft_valid': True, 'pre_dft_rank_score': 11000.0, 'selected_for_dft': False, 'error_type': None, 'error_message': None}",False,False,not matched,,,"{'target_cif_path': 'C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\benchmarks\\paper_targets\\reference_cifs\\generated_challenge_cssni3_mapbi3_proxy.cif', 'reference_id': 'prototype_generated_challenge_cssni3_mapbi3_proxy', 'mode': 'both', 'target_formula': 'CsSnI3'}",False,True,no comparable target,,,{}
690efc11-9a6b-462f-adab-06d591acc132,qlip_generated,sanity_zns_sphalerite,C:\Users\brown\Downloads\example created cifs\challenge_017_zns_sphalerite_solution.cif,challenge_017_zns_sphalerite_solution.cif,,,True,Zn1 S1,ZnS,ZnS,True,P 1,R3m,F-43m,False,False,,1.0,True,1.9918584287042087,Zn-S,0,97.33599999999997,48.667999999999985,1.6628933303598679,True,0,dup-0010,False,True,False,,,,,False,,,True,11000.0,False,sanity_zns_sphalerite,A_validity,17,ZnS,sphalerite,Generate ZnS sphalerite.,reference_cifs\sanity_zns_sphalerite.cif,reference_cifs\sanity_zns_sphalerite.cif,prototype_sanity_zns_sphalerite,prototype,SCA sanity,prototype targets,medium,matched,reduced_formula,reduced_formula matched exactly one target,ZnS,Zn1 S1,Formula and validity smoke target,False,False,False,,,,,False,False,False,False,,,False,False,,,,,,,,,,,,,,,valid_reference_not_checked,250.0,True,False,valid,,,"{'parse_ok': True, 'formula': 'Zn1 S1', 'reduced_formula': 'ZnS', 'target_formula': 'ZnS', 'target_formula_match': True, 'declared_space_group': 'P 1', 'detected_space_group': 'R3m', 'target_space_group': 'F-43m', 'space_group_consistent': False, 'multiplicity_checked': False, 'multiplicity_consistent': None, 'bond_reasonableness_score': 1.0, 'bond_lengths_reasonable': True, 'min_distance': 1.9918584287042087, 'min_distance_pair': 'Zn-S', 'num_bad_contacts': 0, 'volume': 97.33599999999997, 'volume_per_atom': 48.667999999999985, 'density': 1.6628933303598679, 'geometry_ok': True, 'geometry_warning_count': 0, 'duplicate_group_id': 'dup-0010', 'is_duplicate': False, 'is_unique_representative': True, 'novelty_checked': False, 'nearest_reference_id': None, 'known_match': None, 'novel_by_structure_matcher': None, 'novelty_error': None, 'alignn_ok': False, 'alignn_model': None, 'formation_energy_per_atom': None, 'pre_dft_valid': True, 'pre_dft_rank_score': 11000.0, 'selected_for_dft': False, 'error_type': None, 'error_message': None}",False,False,not matched,,,"{'target_cif_path': 'C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\benchmarks\\paper_targets\\reference_cifs\\sanity_zns_sphalerite.cif', 'reference_id': 'prototype_sanity_zns_sphalerite', 'mode': 'both', 'target_formula': 'ZnS'}",False,True,no comparable target,,,{}
