cif_path,sample_id,prompt_id,benchmark_id,target_formula,target_space_group,target_structure_family,reference_cif_path,target_cif_path,reference_id,attempt_id,attempt_rank,num_attempts,method,paper_source,dataset_scope,paper_protocol,prompt,notes
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_batio3_perovskite\attempt_001.cif,e2e_batio3_perovskite_1,e2e_batio3_perovskite,e2e_batio3_perovskite,BaTiO3,Pm-3m,perovskite,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_batio3_perovskite.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_batio3_perovskite.cif,prototype_sanity_batio3_perovskite,1,1,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a cubic perovskite BaTiO3 structure.,Seed E2E prompt for perovskite target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_batio3_perovskite\attempt_002.cif,e2e_batio3_perovskite_2,e2e_batio3_perovskite,e2e_batio3_perovskite,BaTiO3,Pm-3m,perovskite,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_batio3_perovskite.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_batio3_perovskite.cif,prototype_sanity_batio3_perovskite,2,2,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a cubic perovskite BaTiO3 structure.,Seed E2E prompt for perovskite target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_batio3_perovskite\attempt_003.cif,e2e_batio3_perovskite_3,e2e_batio3_perovskite,e2e_batio3_perovskite,BaTiO3,Pm-3m,perovskite,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_batio3_perovskite.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_batio3_perovskite.cif,prototype_sanity_batio3_perovskite,3,3,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a cubic perovskite BaTiO3 structure.,Seed E2E prompt for perovskite target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_znfe2o4_spinel\attempt_001.cif,e2e_znfe2o4_spinel_1,e2e_znfe2o4_spinel,e2e_znfe2o4_spinel,ZnFe2O4,Fd-3m,spinel,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_znfe2o4_spinel.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_znfe2o4_spinel.cif,prototype_generated_challenge_znfe2o4_spinel,1,1,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a spinel-like ZnFe2O4 structure.,Seed E2E prompt for spinel target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_znfe2o4_spinel\attempt_002.cif,e2e_znfe2o4_spinel_2,e2e_znfe2o4_spinel,e2e_znfe2o4_spinel,ZnFe2O4,Fd-3m,spinel,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_znfe2o4_spinel.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_znfe2o4_spinel.cif,prototype_generated_challenge_znfe2o4_spinel,2,2,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a spinel-like ZnFe2O4 structure.,Seed E2E prompt for spinel target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_znfe2o4_spinel\attempt_003.cif,e2e_znfe2o4_spinel_3,e2e_znfe2o4_spinel,e2e_znfe2o4_spinel,ZnFe2O4,Fd-3m,spinel,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_znfe2o4_spinel.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_znfe2o4_spinel.cif,prototype_generated_challenge_znfe2o4_spinel,3,3,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a spinel-like ZnFe2O4 structure.,Seed E2E prompt for spinel target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_nio_rocksalt\attempt_001.cif,e2e_nio_rocksalt_1,e2e_nio_rocksalt,e2e_nio_rocksalt,NiO,Fm-3m,rocksalt,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_nio_rocksalt.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_nio_rocksalt.cif,prototype_sanity_nio_rocksalt,1,1,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a rocksalt NiO crystal.,Seed E2E prompt for rocksalt target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_nio_rocksalt\attempt_002.cif,e2e_nio_rocksalt_2,e2e_nio_rocksalt,e2e_nio_rocksalt,NiO,Fm-3m,rocksalt,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_nio_rocksalt.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_nio_rocksalt.cif,prototype_sanity_nio_rocksalt,2,2,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a rocksalt NiO crystal.,Seed E2E prompt for rocksalt target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_nio_rocksalt\attempt_003.cif,e2e_nio_rocksalt_3,e2e_nio_rocksalt,e2e_nio_rocksalt,NiO,Fm-3m,rocksalt,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_nio_rocksalt.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_nio_rocksalt.cif,prototype_sanity_nio_rocksalt,3,3,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a rocksalt NiO crystal.,Seed E2E prompt for rocksalt target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_tio2_rutile\attempt_001.cif,e2e_tio2_rutile_1,e2e_tio2_rutile,e2e_tio2_rutile,TiO2,P42/mnm,rutile,,,,1,1,3,e2e_text_generator,Chemeleon,C_mlip_stability,"validity,composition,mlip",Generate rutile TiO2.,Reference CIF intentionally blank until curated rutile target is supplied.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_tio2_rutile\attempt_002.cif,e2e_tio2_rutile_2,e2e_tio2_rutile,e2e_tio2_rutile,TiO2,P42/mnm,rutile,,,,2,2,3,e2e_text_generator,Chemeleon,C_mlip_stability,"validity,composition,mlip",Generate rutile TiO2.,Reference CIF intentionally blank until curated rutile target is supplied.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_tio2_rutile\attempt_003.cif,e2e_tio2_rutile_3,e2e_tio2_rutile,e2e_tio2_rutile,TiO2,P42/mnm,rutile,,,,3,3,3,e2e_text_generator,Chemeleon,C_mlip_stability,"validity,composition,mlip",Generate rutile TiO2.,Reference CIF intentionally blank until curated rutile target is supplied.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_li6ps5cl_argyrodite\attempt_001.cif,e2e_li6ps5cl_argyrodite_1,e2e_li6ps5cl_argyrodite,e2e_li6ps5cl_argyrodite,Li6PS5Cl,,argyrodite,,,,1,1,3,e2e_text_generator,Chemeleon,C_mlip_stability,"validity,composition,mlip",Generate an argyrodite-like Li6PS5Cl solid electrolyte.,Requires Li-P-S-Cl hull for metastability replication.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_li6ps5cl_argyrodite\attempt_002.cif,e2e_li6ps5cl_argyrodite_2,e2e_li6ps5cl_argyrodite,e2e_li6ps5cl_argyrodite,Li6PS5Cl,,argyrodite,,,,2,2,3,e2e_text_generator,Chemeleon,C_mlip_stability,"validity,composition,mlip",Generate an argyrodite-like Li6PS5Cl solid electrolyte.,Requires Li-P-S-Cl hull for metastability replication.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_li6ps5cl_argyrodite\attempt_003.cif,e2e_li6ps5cl_argyrodite_3,e2e_li6ps5cl_argyrodite,e2e_li6ps5cl_argyrodite,Li6PS5Cl,,argyrodite,,,,3,3,3,e2e_text_generator,Chemeleon,C_mlip_stability,"validity,composition,mlip",Generate an argyrodite-like Li6PS5Cl solid electrolyte.,Requires Li-P-S-Cl hull for metastability replication.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_fes2_pyrite\attempt_001.cif,e2e_fes2_pyrite_1,e2e_fes2_pyrite,e2e_fes2_pyrite,FeS2,Pa-3,pyrite,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_fes2_pyrite.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_fes2_pyrite.cif,prototype_generated_challenge_fes2_pyrite,1,1,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a pyrite-like FeS2 crystal.,Seed E2E prompt for pyrite target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_fes2_pyrite\attempt_002.cif,e2e_fes2_pyrite_2,e2e_fes2_pyrite,e2e_fes2_pyrite,FeS2,Pa-3,pyrite,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_fes2_pyrite.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_fes2_pyrite.cif,prototype_generated_challenge_fes2_pyrite,2,2,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a pyrite-like FeS2 crystal.,Seed E2E prompt for pyrite target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_fes2_pyrite\attempt_003.cif,e2e_fes2_pyrite_3,e2e_fes2_pyrite,e2e_fes2_pyrite,FeS2,Pa-3,pyrite,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_fes2_pyrite.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_fes2_pyrite.cif,prototype_generated_challenge_fes2_pyrite,3,3,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a pyrite-like FeS2 crystal.,Seed E2E prompt for pyrite target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_ceo2_fluorite\attempt_001.cif,e2e_ceo2_fluorite_1,e2e_ceo2_fluorite,e2e_ceo2_fluorite,CeO2,Fm-3m,fluorite,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_ceo2_fluorite.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_ceo2_fluorite.cif,prototype_sanity_ceo2_fluorite,1,1,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a fluorite-like CeO2 structure.,Seed E2E prompt for fluorite target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_ceo2_fluorite\attempt_002.cif,e2e_ceo2_fluorite_2,e2e_ceo2_fluorite,e2e_ceo2_fluorite,CeO2,Fm-3m,fluorite,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_ceo2_fluorite.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_ceo2_fluorite.cif,prototype_sanity_ceo2_fluorite,2,2,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a fluorite-like CeO2 structure.,Seed E2E prompt for fluorite target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_ceo2_fluorite\attempt_003.cif,e2e_ceo2_fluorite_3,e2e_ceo2_fluorite,e2e_ceo2_fluorite,CeO2,Fm-3m,fluorite,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_ceo2_fluorite.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_ceo2_fluorite.cif,prototype_sanity_ceo2_fluorite,3,3,3,e2e_text_generator,SCA/generated challenge,A_validity,"validity,composition,structure_match",Generate a fluorite-like CeO2 structure.,Seed E2E prompt for fluorite target.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_zno_wurtzite\attempt_001.cif,e2e_zno_wurtzite_1,e2e_zno_wurtzite,e2e_zno_wurtzite,ZnO,P63mc,wurtzite,,,,1,1,3,e2e_text_generator,Chemeleon,C_mlip_stability,"validity,composition,mlip",Generate a wurtzite ZnO structure.,Reference CIF intentionally blank until curated wurtzite target is supplied.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_zno_wurtzite\attempt_002.cif,e2e_zno_wurtzite_2,e2e_zno_wurtzite,e2e_zno_wurtzite,ZnO,P63mc,wurtzite,,,,2,2,3,e2e_text_generator,Chemeleon,C_mlip_stability,"validity,composition,mlip",Generate a wurtzite ZnO structure.,Reference CIF intentionally blank until curated wurtzite target is supplied.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_zno_wurtzite\attempt_003.cif,e2e_zno_wurtzite_3,e2e_zno_wurtzite,e2e_zno_wurtzite,ZnO,P63mc,wurtzite,,,,3,3,3,e2e_text_generator,Chemeleon,C_mlip_stability,"validity,composition,mlip",Generate a wurtzite ZnO structure.,Reference CIF intentionally blank until curated wurtzite target is supplied.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_ndag_hg2_sg225\attempt_001.cif,e2e_ndag_hg2_sg225_1,e2e_ndag_hg2_sg225,e2e_ndag_hg2_sg225,NdAgHg2,,space group 225,,,,1,1,3,e2e_text_generator,CrysText,B_structure_reproduction,"composition,space_group,structure_match",Generate NdAgHg2 in space group 225.,Reference CIF intentionally blank until curated CrysText target is supplied.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_ndag_hg2_sg225\attempt_002.cif,e2e_ndag_hg2_sg225_2,e2e_ndag_hg2_sg225,e2e_ndag_hg2_sg225,NdAgHg2,,space group 225,,,,2,2,3,e2e_text_generator,CrysText,B_structure_reproduction,"composition,space_group,structure_match",Generate NdAgHg2 in space group 225.,Reference CIF intentionally blank until curated CrysText target is supplied.
C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\e2e_fake_runs\e2e_ndag_hg2_sg225\attempt_003.cif,e2e_ndag_hg2_sg225_3,e2e_ndag_hg2_sg225,e2e_ndag_hg2_sg225,NdAgHg2,,space group 225,,,,3,3,3,e2e_text_generator,CrysText,B_structure_reproduction,"composition,space_group,structure_match",Generate NdAgHg2 in space group 225.,Reference CIF intentionally blank until curated CrysText target is supplied.
