benchmark_id,file_name,cif_path,reference_id,reference_cif_path,relaxed_cif_path,target_formula,generated_reduced_formula,reference_formula,target_structure_family,reference_prototype,structure_match,structure_match_after,rms_dist,rms_dist_before,rms_dist_after,relax_ok,energy_drop_per_atom,max_force_before,max_force_after,mlip_consensus_stable_flag,geometry_ok,bond_lengths_reasonable,num_bad_contacts,generated_space_group,reference_space_group,relaxed_space_group,generated_volume,reference_volume,relaxed_volume,relaxed_volume_ratio,primary_category,category_flags,failure_modes,relaxation_effect,reference_risk,diagnostic_confidence,diagnostic_reason
sanity_batio3_perovskite,challenge_001_batio3_perovskite_solution.cif,C:\Users\brown\Downloads\example created cifs\challenge_001_batio3_perovskite_solution.cif,prototype_sanity_batio3_perovskite,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_batio3_perovskite.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\paper_targets_chgnet_relaxed\challenge_001_batio3_perovskite_solution_chgnet_relaxed.cif,BaTiO3,BaTiO3,BaTiO3,perovskite,cubic ABO3 perovskite,False,True,,,0.04524105320709683,True,0.5451126098632812,21.41244705449952,0.09557115412873853,False,True,True,0,R3m,Pm-3m,R3m,97.33599999999997,64.48120099999998,205.14266004614757,2.1075723272596742,near_match,near_match;relaxation_improved;wrong_prototype_or_symmetry;reference_prototype_mismatch_risk,near_match;wrong_prototype_or_symmetry;reference_prototype_mismatch_risk,relaxation_improved,prototype_or_polymorph_note,high,"Generated CIF did not match, but the relaxed CIF matches the reference. Generated CIF is geometrically plausible but does not match the reference prototype."
sanity_catio3_perovskite,challenge_002_catio3_perovskite_solution.cif,C:\Users\brown\Downloads\example created cifs\challenge_002_catio3_perovskite_solution.cif,prototype_sanity_catio3_perovskite,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_catio3_perovskite.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\paper_targets_chgnet_relaxed\challenge_002_catio3_perovskite_solution_chgnet_relaxed.cif,CaTiO3,CaTiO3,CaTiO3,perovskite,cubic ABO3 perovskite,True,True,,,,True,0.060276031494140625,5.822789615332391e-06,3.274941327041417e-05,False,True,True,0,Pm-3m,Pm-3m,Pm-3m,97.33599999999997,57.06662500000001,71.16709819870134,0.7311487856363664,exact_reference_match,exact_reference_match;relaxation_worsened;reference_prototype_mismatch_risk,exact_reference_match;reference_prototype_mismatch_risk,relaxation_worsened,prototype_or_polymorph_note,high,StructureMatcher matched the generated CIF to the reference.
generated_challenge_mgal2o4_spinel,challenge_004_mgal2o4_spinel_solution.cif,C:\Users\brown\Downloads\example created cifs\challenge_004_mgal2o4_spinel_solution.cif,prototype_generated_challenge_mgal2o4_spinel,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_mgal2o4_spinel.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\paper_targets_chgnet_relaxed\challenge_004_mgal2o4_spinel_solution_chgnet_relaxed.cif,MgAl2O4,MgAl2O4,MgAl2O4,spinel,normal spinel,False,False,,,,False,0.38327135358537945,18.109438030199343,0.18804992407380738,False,True,True,0,Amm2,Fd-3m,P4/mmm,97.33599999999997,527.514112,84.96263103567756,0.8728798290013724,relaxation_failed,relaxation_failed;relaxation_improved;wrong_prototype_or_symmetry;reference_prototype_mismatch_risk,relaxation_failed;wrong_prototype_or_symmetry;reference_prototype_mismatch_risk,relaxation_improved,prototype_or_polymorph_note,high,CHGNet relaxation did not satisfy the configured force threshold. Generated CIF is geometrically plausible but does not match the reference prototype.
generated_challenge_znfe2o4_spinel,challenge_005_znfe2o4_spinel_solution.cif,C:\Users\brown\Downloads\example created cifs\challenge_005_znfe2o4_spinel_solution.cif,prototype_generated_challenge_znfe2o4_spinel,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_znfe2o4_spinel.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\paper_targets_chgnet_relaxed\challenge_005_znfe2o4_spinel_solution_chgnet_relaxed.cif,ZnFe2O4,Zn(FeO2)2,ZnFe2O4,spinel,normal spinel,False,False,,,,False,0.944835730961391,64.07895660400838,0.208632812699071,False,True,False,3,Pmm2,Fd-3m,Pmm2,97.33599999999997,601.2115839999999,113.4375776235695,1.1654226352384476,bad_contacts_or_invalid_geometry,bad_contacts_or_invalid_geometry;relaxation_failed;relaxation_improved;reference_prototype_mismatch_risk,bad_contacts_or_invalid_geometry;relaxation_failed;reference_prototype_mismatch_risk,relaxation_improved,prototype_or_polymorph_note,high,Pre-DFT geometry/contact checks flagged the generated CIF. CHGNet relaxation did not satisfy the configured force threshold.
generated_challenge_limn2o4_spinel,challenge_008_limn2o4_spinel_solution.cif,C:\Users\brown\Downloads\example created cifs\challenge_008_limn2o4_spinel_solution.cif,prototype_generated_challenge_limn2o4_spinel,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_limn2o4_spinel.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\paper_targets_chgnet_relaxed\challenge_008_limn2o4_spinel_solution_chgnet_relaxed.cif,LiMn2O4,LiMn2O4,LiMn2O4,spinel,normal spinel,False,False,,,,False,0.4093366350446429,32.60380554199219,0.6233118771482827,False,True,False,2,Pmmm,Fd-3m,Pmmm,97.33599999999997,559.476224,87.71535860599907,0.9011605018287078,bad_contacts_or_invalid_geometry,bad_contacts_or_invalid_geometry;relaxation_failed;relaxation_improved;reference_prototype_mismatch_risk,bad_contacts_or_invalid_geometry;relaxation_failed;reference_prototype_mismatch_risk,relaxation_improved,prototype_or_polymorph_note,high,Pre-DFT geometry/contact checks flagged the generated CIF. CHGNet relaxation did not satisfy the configured force threshold.
sanity_lif_rocksalt,challenge_009_lif_rocksalt_solution.cif,C:\Users\brown\Downloads\example created cifs\challenge_009_lif_rocksalt_solution.cif,prototype_sanity_lif_rocksalt,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_lif_rocksalt.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\paper_targets_chgnet_relaxed\challenge_009_lif_rocksalt_solution_chgnet_relaxed.cif,LiF,LiF,LiF,rocksalt,B1 rocksalt,False,False,,,,True,0.8458020687103271,3.017255176799981e-07,1.0323827311807139e-07,True,True,True,0,Pm-3m,Fm-3m,Pm-3m,97.33599999999997,64.96480799999998,16.292286660816867,0.1673819209831601,relaxed_structure_collapsed,relaxation_improved;relaxed_structure_collapsed;wrong_prototype_or_symmetry;mlip_stable_but_wrong_prototype;reference_prototype_mismatch_risk,relaxed_structure_collapsed;wrong_prototype_or_symmetry;mlip_stable_but_wrong_prototype;reference_prototype_mismatch_risk,relaxation_improved,prototype_or_polymorph_note,high,Relaxed volume ratio or relaxation error indicates possible collapse. Generated CIF is geometrically plausible but does not match the reference prototype. MLIP consensus marks the structure stable while StructureMatcher does not match the reference.
sanity_nacl_rocksalt,challenge_010_nacl_rocksalt_solution.cif,C:\Users\brown\Downloads\example created cifs\challenge_010_nacl_rocksalt_solution.cif,prototype_sanity_nacl_rocksalt,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_nacl_rocksalt.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\paper_targets_chgnet_relaxed\challenge_010_nacl_rocksalt_solution_chgnet_relaxed.cif,NaCl,NaCl,NaCl,rocksalt,B1 rocksalt,False,False,,,,True,0.19393253326416016,0.34566479657344046,0.06103823299669252,False,True,True,0,Amm2,Fm-3m,Amm2,97.33599999999997,179.40614399999995,93.29577086359815,0.9584919337511114,wrong_prototype_or_symmetry,relaxation_improved;wrong_prototype_or_symmetry;reference_prototype_mismatch_risk,wrong_prototype_or_symmetry;reference_prototype_mismatch_risk,relaxation_improved,prototype_or_polymorph_note,medium,Generated CIF is geometrically plausible but does not match the reference prototype.
generated_challenge_cspbbr3_perovskite,challenge_011_cspbbr3_perovskite_solution.cif,C:\Users\brown\Downloads\example created cifs\challenge_011_cspbbr3_perovskite_solution.cif,prototype_generated_challenge_cspbbr3_perovskite,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_cspbbr3_perovskite.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\paper_targets_chgnet_relaxed\challenge_011_cspbbr3_perovskite_solution_chgnet_relaxed.cif,CsPbBr3,CsPbBr3,CsPbBr3,perovskite,cubic ABX3 perovskite,False,False,,,,True,1.561162567138672,49.771065008992196,0.06420664394696411,False,True,True,0,P1,Pm-3m,P1,97.33599999999997,202.26200300000002,236.03162789867045,2.4249160423550435,wrong_prototype_or_symmetry,relaxation_improved;wrong_prototype_or_symmetry;reference_prototype_mismatch_risk,wrong_prototype_or_symmetry;reference_prototype_mismatch_risk,relaxation_improved,prototype_or_polymorph_note,medium,Generated CIF is geometrically plausible but does not match the reference prototype.
generated_challenge_cssni3_mapbi3_proxy,challenge_012_mapbi3_proxy_solution.cif,C:\Users\brown\Downloads\example created cifs\challenge_012_mapbi3_proxy_solution.cif,prototype_generated_challenge_cssni3_mapbi3_proxy,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\generated_challenge_cssni3_mapbi3_proxy.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\paper_targets_chgnet_relaxed\challenge_012_mapbi3_proxy_solution_chgnet_relaxed.cif,CsSnI3,CsSnI3,CsSnI3,proxy/perovskite,cubic ABX3 perovskite,False,True,,,0.1792260699163355,True,0.8082990169525146,8.741067856833078,0.06480434596864233,False,True,True,0,R3,Pm-3m,R3,97.33599999999997,238.32800000000003,810.4060892172567,8.325861851907383,near_match,near_match;relaxation_improved;wrong_prototype_or_symmetry;reference_prototype_mismatch_risk,near_match;wrong_prototype_or_symmetry;reference_prototype_mismatch_risk,relaxation_improved,prototype_or_polymorph_note;family_alias_or_proxy,high,"Generated CIF did not match, but the relaxed CIF matches the reference. Generated CIF is geometrically plausible but does not match the reference prototype."
sanity_zns_sphalerite,challenge_017_zns_sphalerite_solution.cif,C:\Users\brown\Downloads\example created cifs\challenge_017_zns_sphalerite_solution.cif,prototype_sanity_zns_sphalerite,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\benchmarks\paper_targets\reference_cifs\sanity_zns_sphalerite.cif,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\reports\paper_targets_chgnet_relaxed\challenge_017_zns_sphalerite_solution_chgnet_relaxed.cif,ZnS,ZnS,ZnS,sphalerite,zinc blende,False,True,,,0.005280883831850053,True,0.7088873386383057,0.6763358137104025,0.03913183023222701,True,True,True,0,R3m,F-43m,F-43m,97.33599999999997,158.34042100000002,161.24337280118732,1.656564609200988,near_match,near_match;relaxation_improved;wrong_prototype_or_symmetry;mlip_stable_but_wrong_prototype;reference_prototype_mismatch_risk,near_match;wrong_prototype_or_symmetry;mlip_stable_but_wrong_prototype;reference_prototype_mismatch_risk,relaxation_improved,prototype_or_polymorph_note,high,"Generated CIF did not match, but the relaxed CIF matches the reference. Generated CIF is geometrically plausible but does not match the reference prototype. MLIP consensus marks the structure stable while StructureMatcher does not match the reference."
